(-4.81, -10.20)  -  329
(-5.99, -9.19)  -  330
(-6.01, -11.57)  -  331
(-8.78, -2.56)  -  332
(-15.26, -10.71)  -  333
(-9.72, -5.62)  -  334
(-6.42, -3.02)  -  335
(-6.66, -13.78)  -  336
(-7.30, -4.54)  -  337
(-10.52, -14.97)  -  338
(-12.56, -14.30)  -  339
(-14.50, -8.54)  -  340
(-9.67, -14.33)  -  341
(-13.26, -11.74)  -  342
(-12.10, -4.76)  -  343
(-7.03, -9.80)  -  344
(-10.10, -3.76)  -  345
(-13.24, -6.57)  -  346
(-7.50, -1.61)  -  347
(-11.37, -4.11)  -  348
(-9.44, -10.87)  -  349
(-4.59, -12.75)  -  350
(-7.13, -5.87)  -  351
(-5.54, -10.21)  -  352
(-9.74, -11.31)  -  353
(-10.74, -4.33)  -  354
(-12.34, -4.98)  -  355
(-12.21, -9.33)  -  356
(-7.71, -11.13)  -  357
(-5.52, -7.22)  -  358
(-11.23, -7.47)  -  359
(-8.32, -12.94)  -  360
(-12.56, -7.76)  -  361
(-7.90, -14.88)  -  362
(-7.35, -5.81)  -  363
(-10.74, -8.25)  -  364
(-14.11, -4.99)  -  365
(-10.95, -8.48)  -  366
(-15.98, -3.79)  -  367
(-5.63, -11.00)  -  368
(-14.73, -3.17)  -  369
(-10.90, -8.63)  -  370
(-11.94, -7.77)  -  371
(-11.52, -5.42)  -  372
(-12.26, -8.18)  -  373
(-13.22, -8.36)  -  374
(-13.74, -10.06)  -  375
(-13.76, -12.58)  -  376
(-12.48, -7.43)  -  377
(-8.66, -1.77)  -  378
(-5.85, -8.99)  -  379
(-8.70, -11.99)  -  380
(-7.73, -0.13)  -  381
(-8.06, -15.53)  -  382
(-13.64, -14.12)  -  383
(-14.25, -13.03)  -  384
(-8.47, -7.59)  -  385
(-4.97, -8.39)  -  386
(-11.06, -0.01)  -  387
(-13.80, -10.02)  -  388
(-7.29, -0.08)  -  389
(-10.27, -4.55)  -  390
(-6.41, -12.84)  -  391
(-6.82, -9.68)  -  392
(-11.10, -11.94)  -  393
(-3.93, -8.50)  -  394
(-8.09, -0.21)  -  395
(-7.66, -9.89)  -  396
(-6.79, -2.47)  -  397
(-14.92, -14.00)  -  398
(-3.22, -3.24)  -  399
(-5.74, -2.15)  -  400
(-13.19, -10.40)  -  401
(-13.16, -8.81)  -  402
(-9.77, -7.06)  -  403
(-9.91, -3.19)  -  404
(-8.91, -9.72)  -  405
(-9.12, -6.01)  -  406
(-14.64, -2.37)  -  407
(-13.14, -4.36)  -  408
(-8.63, -11.79)  -  409
(-5.89, -4.39)  -  410
(-15.78, -14.36)  -  411
(-13.95, -8.59)  -  412
(-4.82, -8.71)  -  413
(-8.07, -0.83)  -  414
(-6.24, -9.20)  -  415
(-14.87, -6.45)  -  416
(-10.78, -1.19)  -  417
(-11.58, -8.77)  -  418
(-10.34, -8.41)  -  419
(-14.12, -10.48)  -  420
(-15.60, -12.14)  -  421
(-7.02, -3.43)  -  422
(-9.79, -10.07)  -  423
(-9.79, -6.43)  -  424
(-4.08, -9.67)  -  425
(-12.46, -4.50)  -  426
(-8.57, -10.02)  -  427
(-4.14, -14.00)  -  428
(-7.12, -6.94)  -  429
(-5.57, -12.35)  -  430
(-11.16, -13.73)  -  431
(-3.65, -11.77)  -  432
(-8.82, -11.48)  -  433
(-13.27, -7.17)  -  434
(-7.83, -14.78)  -  435
(-4.67, -2.67)  -  436
(-11.77, -4.27)  -  437
(-11.20, -3.34)  -  438
(-9.83, -3.51)  -  439
(-10.36, -7.01)  -  440
(-14.82, -0.53)  -  441
(-9.88, -10.05)  -  442
(-3.89, -1.25)  -  443
(-4.93, -13.41)  -  444
(-8.79, -3.09)  -  445
(-7.80, -4.82)  -  446
(-8.41, -3.28)  -  447
(-10.00, -5.37)  -  448
(-13.96, -11.33)  -  449
(-13.05, -2.88)  -  450
(-8.65, -6.76)  -  451
(-1.87, -3.99)  -  452
(-10.82, -8.11)  -  453
(-4.43, -13.00)  -  454
(-4.13, -3.10)  -  455
(-9.41, -13.49)  -  456
(-1.33, -12.41)  -  457
(-5.91, -6.92)  -  458
(-4.33, -7.45)  -  459
(-7.68, -2.91)  -  460
(-10.52, -0.64)  -  461
(-1.73, -10.64)  -  462
(-5.28, -8.22)  -  463
(-7.01, -11.69)  -  464
(-13.62, -12.55)  -  465
(-9.70, -11.52)  -  466
(-5.01, -4.33)  -  467
(-12.56, -14.91)  -  468
(-9.45, -10.71)  -  469
(-3.73, -2.33)  -  470
(-7.17, -1.75)  -  471
(-9.33, -1.05)  -  472
(-8.50, -7.48)  -  473
(-3.69, -4.05)  -  474
(-14.96, -9.42)  -  475
(-3.24, -11.71)  -  476
(-7.13, -11.07)  -  477
(-5.14, -1.04)  -  478
(-12.92, -1.64)  -  479
(-9.32, -2.19)  -  480
(-15.80, -2.51)  -  481
(-9.56, -13.10)  -  482
(-13.85, -15.59)  -  483
(-9.89, -15.03)  -  484
(-11.50, -6.82)  -  485
(-4.95, -12.81)  -  486
(-8.65, -10.65)  -  487
(-5.85, -9.89)  -  488
(-3.41, -5.52)  -  489
(-13.78, -9.88)  -  490
(-12.11, -9.06)  -  491
(-10.79, -8.71)  -  492
(-8.59, -15.88)  -  493
(-4.09, -11.58)  -  494
(-5.48, -5.76)  -  495
(-4.85, -7.37)  -  496
(-12.22, -10.68)  -  497
(-6.88, -12.67)  -  498
(-9.73, -4.77)  -  499
(-11.16, -4.86)  -  500
(-6.90, -9.92)  -  501
(-11.58, -1.13)  -  502
(-9.61, -4.38)  -  503
(-13.21, -5.24)  -  504
(-4.06, -8.35)  -  505
(-11.24, -5.78)  -  506
(-2.73, -1.27)  -  507
(-6.56, -1.47)  -  508
(-4.82, -7.66)  -  509
(-11.90, -6.62)  -  510
(-13.27, -2.97)  -  511
(-14.15, -7.35)  -  512
(-3.23, -4.31)  -  513
(-10.03, -3.72)  -  514
(-10.38, -12.66)  -  515
(-14.71, -9.76)  -  516
(-8.93, -15.37)  -  517
(-5.95, -11.53)  -  518
(-14.34, -4.75)  -  519
(-15.65, -12.07)  -  520
(-10.96, 0.12)  -  521
(-6.10, -4.18)  -  522
(-1.11, -11.26)  -  523
(-6.25, -13.20)  -  524
(-3.80, -3.28)  -  525
(-15.93, -8.89)  -  526
(-5.17, -11.30)  -  527
(-12.57, -2.72)  -  528
(-13.46, -9.45)  -  529
(-0.54, -13.91)  -  530
(-1.06, -2.70)  -  531
(-4.95, -1.81)  -  532
(-7.81, -13.49)  -  533
(-13.69, -14.72)  -  534
(-3.06, -9.05)  -  535
(-5.98, -5.74)  -  536
(-14.86, -14.23)  -  537
(-13.04, -9.49)  -  538
(-8.63, -10.78)  -  539
(-13.61, -11.75)  -  540
(-1.15, -4.67)  -  541
(-4.11, -3.36)  -  542
(-15.84, -1.78)  -  543
(-8.83, -1.29)  -  544
(-6.39, -5.62)  -  545
(-11.91, -12.08)  -  546
(-9.12, -4.28)  -  547
(-14.85, -13.40)  -  548
(-7.04, -2.97)  -  549
(-10.87, -3.07)  -  550
(-4.65, -0.34)  -  551
(-12.97, -5.23)  -  552
(-6.96, -6.73)  -  553
(-9.23, -7.27)  -  554
(-14.02, -2.88)  -  555
(-14.26, -6.23)  -  556
(-10.56, -14.02)  -  557
(-13.46, -6.60)  -  558
(-1.33, -2.04)  -  559
(-3.82, -5.26)  -  560
(-3.76, -13.77)  -  561
(-9.60, -15.76)  -  562
(-6.27, -10.94)  -  563
(-5.06, -10.55)  -  564
(-14.42, -13.43)  -  565
(-14.86, -3.31)  -  566
(-9.42, -0.81)  -  567
(-0.73, -10.79)  -  568
(-2.02, -11.72)  -  569
(-3.78, -5.56)  -  570
(-14.71, -4.36)  -  571
(-5.41, -10.30)  -  572
(-7.36, -4.18)  -  573
(-0.55, -14.30)  -  574
(-7.37, -1.21)  -  575
(-12.08, -8.62)  -  576
(-12.68, -11.60)  -  577
(-9.86, -8.82)  -  578
(-6.60, -13.44)  -  579
(-12.90, -9.52)  -  580
(-8.64, -2.68)  -  581
(-12.64, -0.02)  -  582
(-8.91, -4.50)  -  583
(-8.76, -12.07)  -  584
(-11.82, -11.43)  -  585
(-7.86, -4.60)  -  586
(-3.69, -2.49)  -  587
(-0.13, -4.62)  -  588
(-14.27, -4.52)  -  589
(-4.36, -8.31)  -  590
(-9.11, -1.29)  -  591
(-4.07, -4.38)  -  592
(-4.06, -5.61)  -  593
(-13.65, -11.33)  -  594
(-14.94, -10.02)  -  595
(-15.43, -4.65)  -  596
(-4.28, -3.93)  -  597
(-2.79, -3.47)  -  598
(-8.49, -0.32)  -  599
(-6.57, -4.94)  -  600
(-6.47, -13.80)  -  601
(-12.34, -8.82)  -  602
(-7.63, -6.11)  -  603
(-12.95, -9.80)  -  604
(-12.96, -7.41)  -  605
(-0.28, -1.25)  -  606
(-13.34, -10.35)  -  607
(-13.56, -11.67)  -  608
(-14.26, -15.06)  -  609
(-2.13, -12.53)  -  610
(-9.34, -2.24)  -  611
(-14.09, -15.96)  -  612
(-2.14, -6.26)  -  613
(-12.44, -12.78)  -  614
(-9.27, 0.66)  -  615
(-13.84, -12.30)  -  616
(-11.12, 0.96)  -  617
(-11.36, -2.25)  -  618
(-15.43, -12.23)  -  619
(-5.01, -4.64)  -  620
(-4.49, -7.10)  -  621
(-3.00, -0.54)  -  622
(-14.82, -3.38)  -  623
(-8.48, -14.11)  -  624
(-1.94, -5.95)  -  625
(-13.35, -0.30)  -  626
(-5.76, -1.58)  -  627
(-6.96, -11.99)  -  628
(-8.55, -0.93)  -  629
(-12.93, -3.67)  -  630
(-14.77, -0.60)  -  631
(-3.38, -7.15)  -  632
(-13.62, -9.26)  -  633
(-15.84, -2.13)  -  634
(-14.26, -1.02)  -  635
(-8.79, -9.96)  -  636
(-5.00, -6.23)  -  637
(-0.30, -5.04)  -  638
(-13.00, -12.39)  -  639
(-15.82, -12.39)  -  640
(-10.24, -4.78)  -  641
(-9.63, -8.16)  -  642
(-10.21, -2.67)  -  643
(-1.98, -6.51)  -  644
(-10.32, -1.87)  -  645
(-1.16, -10.68)  -  646
(-11.57, 0.45)  -  647
(-12.91, -12.33)  -  648
(-13.39, -4.32)  -  649
(-11.60, -7.27)  -  650
(-10.68, -6.55)  -  651
(-0.56, -5.94)  -  652
(-4.81, -5.08)  -  653
(-15.53, -0.56)  -  654
(-8.21, -7.72)  -  655
